timestamp_local,t2m,rh2m,ws10m,wd10m,ps,ghi,ghi_clear,precip,t2mdew
2024-01-01 00:30:00+05:30,14.19,43.93,0.5,140.6,1005.8,0.0,0.0,0.0,2.08
2024-01-01 01:30:00+05:30,13.61,45.61,0.55,179.0,1005.6,0.0,0.0,0.0,2.11
2024-01-01 02:30:00+05:30,13.06,47.6,0.6,214.8,1005.6,0.0,0.0,0.0,2.2
2024-01-01 03:30:00+05:30,12.48,49.89,0.68,263.3,1005.6999999999999,0.0,0.0,0.0,2.33
2024-01-01 04:30:00+05:30,11.6,53.25,0.89,296.0,1006.2,0.0,0.0,0.0,2.43
2024-01-01 05:30:00+05:30,10.85,56.88,1.09,312.0,1007.0,0.0,0.0,0.0,2.68
2024-01-01 06:30:00+05:30,10.62,58.82,1.17,311.9,1007.9000000000001,6.7,7.35,0.0,2.91
2024-01-01 07:30:00+05:30,12.02,55.59,1.26,307.6,1008.7,45.8,67.55,0.0,3.44
2024-01-01 08:30:00+05:30,13.94,48.65,0.94,306.4,1009.2,89.35,167.93,0.0,3.33
2024-01-01 09:30:00+05:30,17.23,39.31,0.77,308.7,1009.0999999999999,124.97,275.52,0.0,3.28
2024-01-01 10:30:00+05:30,20.62,37.15,1.37,309.4,1008.3,212.32,353.88,0.0,5.49
2024-01-01 11:30:00+05:30,21.95,37.07,1.61,299.0,1007.0999999999999,163.73,224.52,0.0,6.65
2024-01-01 12:30:00+05:30,22.58,37.45,1.9,295.2,1005.9000000000001,165.38,212.02,0.0,7.37
2024-01-01 13:30:00+05:30,22.72,38.84,2.27,293.9,1005.1999999999999,136.48,168.75,0.0,8.03
2024-01-01 14:30:00+05:30,22.29,40.99,2.34,297.8,1004.8000000000001,99.22,112.6,0.0,8.43
2024-01-01 15:30:00+05:30,20.84,49.2,1.49,315.8,1004.5999999999999,49.78,52.38,0.0,9.8
2024-01-01 16:30:00+05:30,18.02,56.09,1.96,342.2,1004.7,9.7,9.8,0.0,9.16
2024-01-01 17:30:00+05:30,16.5,59.3,2.32,355.1,1005.1999999999999,0.0,0.0,0.0,8.57
