timestamp_utc,t2m,rh2m,t2mdew,precip,ws10m,wd10m,ps,ghi
2024-01-01 00:00:00+00:00,10.0,100,10.0,0.0,1.6,63,1006.1,0.0
2024-01-01 01:00:00+00:00,9.8,100,9.8,0.0,4.0,90,1007.4,0.0
2024-01-01 02:00:00+00:00,10.1,99,10.0,0.0,4.1,105,1008.0,11.0
2024-01-01 03:00:00+00:00,11.1,98,10.8,0.0,4.3,114,1008.7,90.0
2024-01-01 04:00:00+00:00,12.8,90,11.3,0.0,4.2,110,1009.2,187.0
2024-01-01 05:00:00+00:00,15.5,80,12.0,0.0,3.7,119,1008.9,415.0
2024-01-01 06:00:00+00:00,17.4,71,12.1,0.0,3.6,127,1007.8,527.0
2024-01-01 07:00:00+00:00,18.9,66,12.3,0.0,3.1,111,1006.2,562.0
2024-01-01 08:00:00+00:00,20.0,62,12.5,0.0,3.0,104,1005.1,552.0
2024-01-01 09:00:00+00:00,20.6,61,12.7,0.0,0.5,135,1004.4,475.0
2024-01-01 10:00:00+00:00,20.7,60,12.6,0.0,0.8,207,1004.0,334.0
2024-01-01 11:00:00+00:00,20.2,62,12.8,0.0,0.0,270,1004.0,169.0
2024-01-01 12:00:00+00:00,19.3,65,12.5,0.0,1.6,117,1004.3,32.0
2024-01-01 13:00:00+00:00,15.1,86,12.8,0.0,5.6,75,1005.3,0.0
2024-01-01 14:00:00+00:00,14.5,87,12.4,0.0,6.9,51,1005.7,0.0
2024-01-01 15:00:00+00:00,13.6,89,11.9,0.0,6.9,51,1006.2,0.0
2024-01-01 16:00:00+00:00,13.4,89,11.6,0.0,6.5,90,1006.3,0.0
2024-01-01 17:00:00+00:00,14.1,88,12.1,0.0,5.0,111,1006.4,0.0
2024-01-01 18:00:00+00:00,13.1,94,12.1,0.0,4.8,167,1006.2,0.0
2024-01-01 19:00:00+00:00,13.3,96,12.6,0.0,4.7,184,1005.8,0.0
2024-01-01 20:00:00+00:00,12.9,99,12.7,0.0,1.3,304,1005.6,0.0
2024-01-01 21:00:00+00:00,11.2,100,11.1,0.0,3.8,343,1005.3,0.0
2024-01-01 22:00:00+00:00,10.9,99,10.8,0.0,5.0,360,1005.2,0.0
2024-01-01 23:00:00+00:00,10.5,99,10.4,0.0,6.1,360,1005.1,0.0
2024-01-02 00:00:00+00:00,10.6,99,10.5,0.0,6.1,3,1005.5,0.0
2024-01-02 01:00:00+00:00,11.1,100,11.1,0.0,1.3,56,1006.5,0.0
2024-01-02 02:00:00+00:00,11.1,99,11.0,0.0,1.1,270,1006.9,15.0
2024-01-02 03:00:00+00:00,12.5,97,12.1,0.0,1.1,288,1007.7,110.0
2024-01-02 04:00:00+00:00,15.0,90,13.3,0.0,1.0,315,1008.2,255.0
2024-01-02 05:00:00+00:00,17.6,77,13.5,0.0,2.5,360,1007.8,435.0
2024-01-02 06:00:00+00:00,19.4,69,13.5,0.0,4.0,5,1006.9,550.0
2024-01-02 07:00:00+00:00,20.5,64,13.5,0.0,4.7,9,1005.5,590.0
2024-01-02 08:00:00+00:00,21.4,61,13.5,0.0,5.6,15,1004.4,566.0
2024-01-02 09:00:00+00:00,21.8,60,13.6,0.0,5.9,14,1003.7,478.0
2024-01-02 10:00:00+00:00,21.7,60,13.7,0.0,6.4,16,1003.3,338.0
2024-01-02 11:00:00+00:00,20.7,67,14.5,0.0,4.4,9,1003.3,172.0
2024-01-02 12:00:00+00:00,17.7,79,14.0,0.0,7.9,360,1003.5,33.0
2024-01-02 13:00:00+00:00,16.6,83,13.7,0.0,6.6,13,1004.8,0.0
2024-01-02 14:00:00+00:00,15.3,90,13.6,0.0,8.7,38,1005.0,0.0
2024-01-02 15:00:00+00:00,15.2,88,13.3,0.0,7.5,35,1005.3,0.0
2024-01-02 16:00:00+00:00,16.0,85,13.4,0.0,5.4,37,1005.6,0.0
2024-01-02 17:00:00+00:00,15.7,86,13.4,0.0,4.4,35,1005.6,0.0
2024-01-02 18:00:00+00:00,13.8,94,12.8,0.0,5.4,48,1005.1,0.0
2024-01-02 19:00:00+00:00,13.7,93,12.6,0.0,6.1,50,1005.0,0.0
2024-01-02 20:00:00+00:00,13.0,96,12.3,0.0,5.6,50,1004.9,0.0
2024-01-02 21:00:00+00:00,12.9,97,12.4,0.0,4.7,32,1004.6,0.0
2024-01-02 22:00:00+00:00,13.0,96,12.4,0.0,7.4,47,1004.5,0.0
2024-01-02 23:00:00+00:00,12.8,96,12.1,0.0,8.4,47,1004.4,0.0
2024-01-03 00:00:00+00:00,13.0,94,12.0,0.0,8.0,36,1004.9,0.0
2024-01-03 01:00:00+00:00,12.7,96,12.1,0.0,6.9,47,1005.7,0.0
2024-01-03 02:00:00+00:00,13.2,94,12.2,0.0,9.4,43,1006.6,15.0
2024-01-03 03:00:00+00:00,14.6,87,12.5,0.0,8.7,73,1007.5,113.0
2024-01-03 04:00:00+00:00,15.6,85,13.1,0.3,8.9,43,1008.1,155.0
2024-01-03 05:00:00+00:00,16.4,85,13.9,0.4,11.8,50,1007.8,204.0
2024-01-03 06:00:00+00:00,16.7,89,14.8,0.6,12.0,44,1006.9,223.0
2024-01-03 07:00:00+00:00,16.9,91,15.4,2.0,8.0,54,1005.3,129.0
2024-01-03 08:00:00+00:00,18.0,89,16.2,1.8,6.7,36,1004.6,192.0
2024-01-03 09:00:00+00:00,18.3,90,16.6,1.2,10.9,96,1003.6,206.0
2024-01-03 10:00:00+00:00,18.6,88,16.5,0.3,7.6,45,1003.6,157.0
2024-01-03 11:00:00+00:00,18.3,90,16.5,0.2,5.0,60,1003.2,134.0
2024-01-03 12:00:00+00:00,17.7,92,16.5,0.0,1.5,45,1003.2,27.0
2024-01-03 13:00:00+00:00,15.8,92,14.6,0.0,6.8,360,1003.6,0.0
2024-01-03 14:00:00+00:00,15.6,95,14.8,0.0,7.3,11,1003.8,0.0
2024-01-03 15:00:00+00:00,15.1,97,14.6,0.0,6.6,13,1004.5,0.0
2024-01-03 16:00:00+00:00,15.8,96,15.1,0.0,7.2,18,1004.9,0.0
2024-01-03 17:00:00+00:00,15.6,96,15.0,0.0,4.9,17,1005.1,0.0
2024-01-03 18:00:00+00:00,15.5,96,14.9,0.1,6.0,33,1004.7,0.0
2024-01-03 19:00:00+00:00,15.5,96,14.8,0.1,6.9,28,1004.5,0.0
2024-01-03 20:00:00+00:00,14.7,97,14.3,0.0,5.4,48,1004.5,0.0
2024-01-03 21:00:00+00:00,13.4,99,13.3,0.0,6.6,22,1004.3,0.0
2024-01-03 22:00:00+00:00,13.3,100,13.2,0.0,6.5,6,1004.3,0.0
2024-01-03 23:00:00+00:00,12.9,99,12.8,0.0,7.2,6,1004.4,0.0
2024-01-04 00:00:00+00:00,13.1,99,12.9,0.0,5.2,16,1004.8,0.0
2024-01-04 01:00:00+00:00,12.5,100,12.5,0.0,1.9,292,1005.9,0.0
2024-01-04 02:00:00+00:00,13.2,99,13.0,0.1,7.9,336,1006.8,14.0
2024-01-04 03:00:00+00:00,14.2,96,13.5,0.0,5.0,339,1008.1,101.0
2024-01-04 04:00:00+00:00,15.3,87,13.2,0.0,10.1,360,1009.2,185.0
2024-01-04 05:00:00+00:00,16.9,81,13.6,0.0,7.6,341,1008.6,272.0
2024-01-04 06:00:00+00:00,19.3,72,14.2,0.0,3.8,17,1007.2,466.0
2024-01-04 07:00:00+00:00,20.5,70,14.7,0.0,6.2,10,1005.8,539.0
2024-01-04 08:00:00+00:00,21.0,68,14.9,0.0,3.2,333,1004.5,544.0
2024-01-04 09:00:00+00:00,21.6,67,15.1,0.0,3.1,339,1003.7,485.0
2024-01-04 10:00:00+00:00,21.8,65,15.0,0.0,4.7,270,1003.5,343.0
2024-01-04 11:00:00+00:00,21.1,70,15.4,0.0,5.6,255,1003.4,166.0
2024-01-04 12:00:00+00:00,18.4,82,15.2,0.0,6.5,273,1003.4,35.0
2024-01-04 13:00:00+00:00,19.3,77,15.1,0.0,2.1,301,1004.1,0.0
2024-01-04 14:00:00+00:00,18.0,83,15.1,0.0,4.0,297,1004.6,0.0
2024-01-04 15:00:00+00:00,16.0,91,14.5,0.0,4.2,250,1004.9,0.0
2024-01-04 16:00:00+00:00,14.9,96,14.2,0.0,5.8,248,1005.4,0.0
2024-01-04 17:00:00+00:00,14.2,97,13.8,0.0,6.7,324,1005.0,0.0
2024-01-04 18:00:00+00:00,14.8,96,14.2,0.0,5.9,346,1004.8,0.0
2024-01-04 19:00:00+00:00,14.1,97,13.6,0.0,5.1,4,1004.8,0.0
2024-01-04 20:00:00+00:00,13.6,97,13.2,0.0,5.2,16,1004.9,0.0
2024-01-04 21:00:00+00:00,13.7,97,13.3,0.0,6.0,33,1004.5,0.0
2024-01-04 22:00:00+00:00,13.1,97,12.7,0.0,6.8,25,1004.5,0.0
2024-01-04 23:00:00+00:00,13.6,96,13.0,0.0,5.2,65,1004.4,0.0
2024-01-05 00:00:00+00:00,13.0,98,12.6,0.0,7.1,75,1004.9,0.0
2024-01-05 01:00:00+00:00,13.0,99,12.8,0.0,5.5,101,1006.3,0.0
2024-01-05 02:00:00+00:00,13.8,98,13.6,0.0,1.8,79,1006.9,15.0
2024-01-05 03:00:00+00:00,15.2,92,13.9,0.0,4.6,45,1007.6,104.0
2024-01-05 04:00:00+00:00,16.7,85,14.3,0.0,6.8,25,1008.5,208.0
2024-01-05 05:00:00+00:00,18.0,81,14.7,0.0,8.3,5,1008.3,266.0
2024-01-05 06:00:00+00:00,18.6,78,14.8,0.0,10.2,58,1007.0,204.0
2024-01-05 07:00:00+00:00,20.0,74,15.1,0.0,7.4,76,1005.9,329.0
2024-01-05 08:00:00+00:00,20.2,73,15.1,0.0,6.2,100,1004.8,185.0
2024-01-05 09:00:00+00:00,19.8,76,15.3,0.1,6.5,87,1004.0,75.0
2024-01-05 10:00:00+00:00,19.5,79,15.7,0.1,5.2,25,1003.8,67.0
2024-01-05 11:00:00+00:00,18.8,84,16.1,0.1,3.6,360,1004.1,43.0
2024-01-05 12:00:00+00:00,17.7,89,15.9,0.1,4.4,351,1004.4,8.0
2024-01-05 13:00:00+00:00,15.7,95,14.9,0.0,6.4,52,1005.1,0.0
2024-01-05 14:00:00+00:00,15.3,96,14.7,0.0,7.4,39,1005.5,0.0
2024-01-05 15:00:00+00:00,15.6,95,14.8,0.0,5.4,53,1005.5,0.0
2024-01-05 16:00:00+00:00,15.9,95,15.1,0.0,3.6,6,1005.9,0.0
2024-01-05 17:00:00+00:00,15.4,97,15.0,0.3,4.2,329,1006.6,0.0
2024-01-05 18:00:00+00:00,15.2,97,14.8,0.5,4.0,5,1006.3,0.0
2024-01-05 19:00:00+00:00,15.1,97,14.6,0.6,9.0,360,1006.3,0.0
2024-01-05 20:00:00+00:00,14.9,96,14.3,0.5,7.6,360,1006.1,0.0
2024-01-05 21:00:00+00:00,14.7,97,14.2,0.5,7.4,23,1005.7,0.0
2024-01-05 22:00:00+00:00,14.6,97,14.1,0.7,7.2,354,1005.4,0.0
2024-01-05 23:00:00+00:00,14.6,96,13.9,0.4,6.2,10,1005.4,0.0
2024-01-06 00:00:00+00:00,14.3,96,13.6,0.0,6.9,9,1005.7,0.0
2024-01-06 01:00:00+00:00,14.2,97,13.8,0.2,2.9,360,1007.2,0.0
2024-01-06 02:00:00+00:00,14.5,97,13.9,0.0,2.6,106,1007.5,9.0
2024-01-06 03:00:00+00:00,15.4,95,14.6,0.0,4.4,351,1008.3,107.0
2024-01-06 04:00:00+00:00,17.0,90,15.4,0.0,4.0,355,1009.0,245.0
2024-01-06 05:00:00+00:00,18.5,86,16.0,0.0,4.2,31,1008.6,362.0
2024-01-06 06:00:00+00:00,19.1,83,16.2,0.1,5.6,40,1007.8,270.0
