,RC model,EnergyPlus
2017-01-31 00:00:00+05:30,,18.164672228701317
2017-02-28 00:00:00+05:30,,24.50213777373762
2017-03-31 00:00:00+05:30,,32.036596631334355
2017-04-30 00:00:00+05:30,,39.38064452751599
2017-05-31 00:00:00+05:30,,42.31235631861023
2017-06-30 00:00:00+05:30,,43.58399519723598
2017-07-31 00:00:00+05:30,,34.22638132668575
2017-08-31 00:00:00+05:30,,32.10547166766257
2017-09-30 00:00:00+05:30,,34.31832333949477
2017-10-31 00:00:00+05:30,,33.07678078084737
2017-11-30 00:00:00+05:30,,26.04793171781281
2017-12-31 00:00:00+05:30,,20.836645367882756
2018-01-31 00:00:00+05:30,,16.583114431029973
2024-01-31 00:00:00+05:30,20.821607586743035,
2024-02-29 00:00:00+05:30,26.38281291618818,
2024-03-31 00:00:00+05:30,32.51666324918321,
2024-04-30 00:00:00+05:30,38.63526488604756,
2024-05-31 00:00:00+05:30,40.770718152467836,
2024-06-30 00:00:00+05:30,41.82664821953676,
2024-07-31 00:00:00+05:30,35.1520382513834,
2024-08-31 00:00:00+05:30,33.19157214550202,
2024-09-30 00:00:00+05:30,33.306272373780274,
2024-10-31 00:00:00+05:30,31.994271545072937,
2024-11-30 00:00:00+05:30,27.31957798570987,
2024-12-31 00:00:00+05:30,23.251841257216896,
2025-01-31 00:00:00+05:30,18.79519802768121,
