,indoor_t_c,outdoor_t_c,q_solar_w
2017-01-01 01:00:00+05:30,16.259041357675287,13.747499999999999,0.0
2017-01-01 02:00:00+05:30,15.950760429176576,13.8275,0.0
2017-01-01 03:00:00+05:30,15.650023327492988,13.266250000000001,0.0
2017-01-01 04:00:00+05:30,15.364006983262092,12.697500000000002,0.0
2017-01-01 05:00:00+05:30,15.05363260135395,11.93,0.0
2017-01-01 06:00:00+05:30,14.713717191715455,11.13125,0.0
2017-01-01 07:00:00+05:30,14.420880213955058,10.706249999999999,6.610351811447537
2017-01-01 08:00:00+05:30,14.318004824713668,11.495000000000001,27.790481156933872
2017-01-01 09:00:00+05:30,14.404079039518233,13.219999999999999,47.19151184762811
2017-01-01 10:00:00+05:30,14.790220446701719,15.99625,74.14628000315047
2017-01-01 11:00:00+05:30,15.668606722759844,19.34875,115.2508577659193
2017-01-01 12:00:00+05:30,16.34301998731069,21.451249999999998,90.81278101695192
2017-01-01 13:00:00+05:30,17.01118560282851,22.34375,88.72300955381003
2017-01-01 14:00:00+05:30,17.683115282861298,22.6675,78.30848332097378
2017-01-01 15:00:00+05:30,18.244583623416098,22.451249999999995,56.06225159162107
2017-01-01 16:00:00+05:30,18.586241265865716,21.38375,24.067465903235828
2017-01-01 17:00:00+05:30,18.723468391644857,19.0775,5.459269968496309
2017-01-01 18:00:00+05:30,18.64111608830671,17.07,0.3192610422656169
2017-01-01 19:00:00+05:30,18.4112864217402,16.00625,0.0
2017-01-01 20:00:00+05:30,18.123533800007635,15.29125,0.0
2017-01-01 21:00:00+05:30,17.79067429928012,14.6525,0.0
2017-01-01 22:00:00+05:30,17.407316687752207,14.07,0.0
2017-01-01 23:00:00+05:30,17.006523678984173,13.553749999999999,0.0
2017-01-02 00:00:00+05:30,16.602743887067103,13.145,0.0
2017-01-02 01:00:00+05:30,16.21568969448949,12.91625,0.0
2017-01-02 02:00:00+05:30,15.860752624907438,12.81,0.0
2017-01-02 03:00:00+05:30,15.529613150447545,12.78,0.0
2017-01-02 04:00:00+05:30,15.217166365074682,12.536249999999999,0.0
2017-01-02 05:00:00+05:30,14.895754066359567,11.965000000000002,0.0
2017-01-02 06:00:00+05:30,14.550874066972906,11.285,0.0
2017-01-02 07:00:00+05:30,14.25703667700489,10.88625,4.321390550604111
2017-01-02 08:00:00+05:30,14.142972048671968,12.043750000000001,19.578491786878473
2017-01-02 09:00:00+05:30,14.217129130529012,13.97125,35.99966156908018
2017-01-02 10:00:00+05:30,14.607461555521319,17.21125,62.90649578119263
2017-01-02 11:00:00+05:30,15.484648015577246,20.21125,131.0638817911462
2017-01-02 12:00:00+05:30,16.63503538861702,21.8,219.47865176185343
2017-01-02 13:00:00+05:30,17.69604044960112,22.5325,225.26788482069577
2017-01-02 14:00:00+05:30,18.66730375399638,22.695,191.90587552942964
2017-01-02 15:00:00+05:30,19.326994892281277,22.361250000000002,109.92521306595202
2017-01-02 16:00:00+05:30,19.70962695891588,21.31375,45.777961445807854
2017-01-02 17:00:00+05:30,19.77966649938919,19.00625,7.890150023476525
2017-01-02 18:00:00+05:30,19.614770792404855,17.067500000000003,0.4257393851849151
2017-01-02 19:00:00+05:30,19.338547987827372,16.231250000000003,0.0
2017-01-02 20:00:00+05:30,19.007897017969636,15.827499999999997,0.0
2017-01-02 21:00:00+05:30,18.649946603667267,15.537499999999998,0.0
2017-01-02 22:00:00+05:30,18.254689496604946,15.27125,0.0
2017-01-02 23:00:00+05:30,17.864311758712617,15.02,0.0
2017-01-03 00:00:00+05:30,17.487671675232093,14.754999999999999,0.0
2017-01-03 01:00:00+05:30,17.12170418643354,14.424999999999999,0.0
2017-01-03 02:00:00+05:30,16.766236795965078,13.9775,0.0
2017-01-03 03:00:00+05:30,16.428907576374698,13.365,0.0
2017-01-03 04:00:00+05:30,16.10840114325208,12.635,0.0
2017-01-03 05:00:00+05:30,15.801404128286324,11.975,0.0
2017-01-03 06:00:00+05:30,15.50443990152361,11.525,0.0
2017-01-03 07:00:00+05:30,15.239229269997622,11.421249999999999,2.5199561138787288
2017-01-03 08:00:00+05:30,15.116379142454921,12.72125,16.03302850751323
2017-01-03 09:00:00+05:30,15.156191395155997,14.45875,32.81623385112951
2017-01-03 10:00:00+05:30,15.384145979323012,16.58375,45.272671841909684
2017-01-03 11:00:00+05:30,15.86255348193033,19.3475,45.62181099448112
2017-01-03 12:00:00+05:30,16.45415568620293,21.706249999999997,49.52437193575127
2017-01-03 13:00:00+05:30,17.01340001745134,23.166249999999998,56.230158655153474
2017-01-03 14:00:00+05:30,17.684387203279627,23.9025,61.77281544890467
2017-01-03 15:00:00+05:30,18.280471276612356,24.10875,37.992735359070565
2017-01-03 16:00:00+05:30,18.74591064668888,23.31375,19.160022807183154
2017-01-03 17:00:00+05:30,19.00156225037923,20.77375,4.270734364623182
2017-01-03 18:00:00+05:30,19.08921774527789,18.5025,0.24518862363096772
2017-01-03 19:00:00+05:30,19.037090378018043,17.44875,0.0
2017-01-03 20:00:00+05:30,18.879769087998852,16.833750000000002,0.0
2017-01-03 21:00:00+05:30,18.636796318632978,16.31375,0.0
2017-01-03 22:00:00+05:30,18.379857713833363,15.84875,0.0
2017-01-03 23:00:00+05:30,18.094623821728174,15.405000000000001,0.0
2017-01-04 00:00:00+05:30,17.8233523378746,15.00875,0.0
2017-01-04 01:00:00+05:30,17.554065994122826,14.626249999999999,0.0
